"Story","Title","Result","Date","Stability","Duration (s)"
"When opening the web","Launch web application","SUCCESS","2020-04-11T19:59:55.926+07:00[Asia/Bangkok]","0.0","15.76"
"When register new account","Launch web application","SUCCESS","2020-04-11T20:00:15.36+07:00[Asia/Bangkok]","0.0","20.79"
