"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2020-03-11T20:20:59.952+07:00[Asia/Bangkok]","0.0","17.11"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2020-03-11T20:21:18.151+07:00[Asia/Bangkok]","0.0","0.35"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2020-03-11T20:21:18.78+07:00[Asia/Bangkok]","0.0","6.03"
